Title,Model,Brand,Price,Image URL,Product URL,Store
SAMSUNG 85″ Neo QLED UHD 8K Smart TV 2022,N/A,SAMSUNG,"4,444.00JOD",https://leaders.jo/en/,https://leaders.jo/en/product/samsung-85-neo-qled-uhd-8k-smart-tv/,Leaders
Samsung 75-inch QLED Monitor QA75QN85DBUXTW,N/A,Samsung,"2,099.00JOD",https://leaders.jo/en/,https://leaders.jo/en/product/samsung-75-inch-qled-monitor-qa75qn85dbuxtw/,Leaders
Samsung  Bagged Vacuum Cleaner 2000W – Red,N/A,Samsung,55.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/samsung-bagged-vacuum-cleaner-2000w-red/,Leaders
Samsung Giga sound 1500 Watts Speaker – Black,N/A,Samsung,239.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/amplifier-samsung-giga-sound-1500-watt-black-m/,Leaders
SAMSUNG 55″ Neo QLED UHD 8K Smart TV 2022,N/A,SAMSUNG,"1,899.00JOD",https://leaders.jo/en/,https://leaders.jo/en/product/screen-samsung-55-inch-new-q-led-ultra-l-3/,Leaders
Samsung Galaxy- A06 128GB 6GB RAM-Light Blue,N/A,Samsung,99.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/samsung-galaxy-a06-128gb-6gb-ram-light-blue/,Leaders
SAMSUNG Odyssey Curved Gaming Monitor 27″,N/A,SAMSUNG,299.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/screen-computer-curved-samsung-27-inch-high/,Leaders
Samsung Galaxy- A06 64GB 4GB RAM-Light Blue,N/A,Samsung,79.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/samsung-galaxy-a06-64gb-4gb-ram-light-blue/,Leaders
Samsung Galaxy- A06 128GB 4GB RAM-Light Blue,N/A,Samsung,89.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/samsung-galaxy-a06-128gb-4gb-ram-light-blue/,Leaders
Samsung USB C to USB C Charger 45W 1.8m – White,N/A,Samsung,15.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/samsung-usb-c-c-to-usb-c-45-2/,Leaders
SAMSUNG French Refrigerator 466L A++ – Black,N/A,SAMSUNG,799.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/samsung-refrigerator-multi-doors-466-liter-a-s/,Leaders
SAMSUNG French Refrigerator 466L A++ – Silver,N/A,SAMSUNG,799.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/samsung-refrigerator-door-french-466-liter-a-silver-rf48a4/,Leaders
Samsung 15W Dual Wireless Charger – White,N/A,Samsung,43.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/charger-samsung-dual-wireless-15-watt-ep-p5400twegww/,Leaders
Samsung SMA Galaxy A25 5GB _8GB _256GB _Black,N/A,Samsung,189.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/samsung-sma-galaxy-a25-5gb-_8gb-_256gb-_black/,Leaders
Samsung Galaxy Z Flip4 Silicone Cover with Ring,N/A,Samsung,10.00JOD,https://leaders.jo/en/,https://leaders.jo/en/product/cover-samsung-galaxy-for-mobile-zed-flip-4-m/,Leaders
