Product Name,Price (JD),Image URL,Product URL
AR12ASC (WindFree - 1 Ton),449 JD,https://bmsmena.com/cdn/shop/files/AR12TXHQASISK_000_0001_1920x.png?v=1724493006,https://bmsmena.com/products/ar12txh?_pos=1&_sid=1f6232639&_ss=r
AR12TXH (DIT - 1 Ton),549 JD,https://bmsmena.com/cdn/shop/files/AR18BXHQASISK_000_0001_1920x.png?v=1724493542,https://bmsmena.com/products/ar18bxh?_pos=2&_sid=1f6232639&_ss=r
AR18BXH (DIT - 1.5 Ton),649 JD,https://bmsmena.com/cdn/shop/files/AR24BXHQASISK_000_0001_1920x.png?v=1724494418,https://bmsmena.com/products/ar24bxh?_pos=3&_sid=1f6232639&_ss=r
